step,time,Ua,Ub,Uc,Ia,Ib,Ic
305,0.07625,-92.388,13.0526,79.3353,-0.495722,0.191342,0.304381
306,0.0765,-89.1007,5.2336,83.8671,-0.489074,0.154508,0.334565
307,0.07675,-85.264,-2.61769,87.8817,-0.47941,0.116723,0.362687
308,0.077,-80.9017,-10.4528,91.3545,-0.46679,0.0782172,0.388573
309,0.07725,-76.0406,-18.2236,94.2641,-0.451293,0.0392295,0.412063
310,0.0775,-70.7107,-25.8819,96.5926,-0.433013,-8.45316e-15,0.433013
311,0.07775,-64.9448,-33.3807,98.3255,-0.412063,-0.0392295,0.451293
312,0.078,-58.7785,-40.6737,99.4522,-0.388573,-0.0782172,0.46679
313,0.07825,-52.2499,-47.7159,99.9657,-0.362687,-0.116723,0.47941
314,0.0785,-45.399,-54.4639,99.863,-0.334565,-0.154508,0.489074
315,0.07875,-38.2683,-60.8761,99.1445,-0.304381,-0.191342,0.495722
316,0.079,-30.9017,-66.9131,97.8148,-0.27232,-0.226995,0.499315
317,0.07925,-23.3445,-72.5374,95.882,-0.238579,-0.261249,0.499829
318,0.0795,-15.6434,-77.7146,93.358,-0.203368,-0.293893,0.497261
319,0.07975,-7.84591,-82.4126,90.2585,-0.166903,-0.324724,0.491627
320,0.08,1.67839e-12,-86.6025,86.6025,-0.12941,-0.353553,0.482963
321,0.08025,7.84591,-90.2585,82.4126,-0.0911178,-0.380203,0.471321
322,0.0805,15.6434,-93.358,77.7146,-0.0522642,-0.404508,0.456773
323,0.08075,23.3445,-95.882,72.5374,-0.0130885,-0.42632,0.439409
324,0.081,30.9017,-97.8148,66.9131,0.026168,-0.445503,0.419335
325,0.08125,38.2683,-99.1445,60.8761,0.0652631,-0.46194,0.396677
326,0.0815,45.399,-99.863,54.4639,0.103956,-0.475528,0.371572
327,0.08175,52.2499,-99.9657,47.7159,0.142008,-0.486185,0.344177
328,0.082,58.7785,-99.4522,40.6737,0.179184,-0.493844,0.31466
329,0.08225,64.9448,-98.3255,33.3807,0.215256,-0.498459,0.283203
330,0.0825,70.7107,-96.5926,25.8819,0.25,-0.5,0.25
331,0.08275,76.0406,-94.2641,18.2236,0.283203,-0.498459,0.215256
332,0.083,80.9017,-91.3545,10.4528,0.31466,-0.493844,0.179184
333,0.08325,85.264,-87.8817,2.61769,0.344177,-0.486185,0.142008
334,0.0835,89.1007,-83.8671,-5.2336,0.371572,-0.475528,0.103956
335,0.08375,92.388,-79.3353,-13.0526,0.396677,-0.46194,0.0652631
336,0.084,95.1057,-74.3145,-20.7912,0.419335,-0.445503,0.026168
337,0.08425,97.237,-68.8355,-28.4015,0.439409,-0.42632,-0.0130885
338,0.0845,98.7688,-62.932,-35.8368,0.456773,-0.404508,-0.0522642
339,0.08475,99.6917,-56.6406,-43.0511,0.471321,-0.380203,-0.0911178
340,0.085,100,-50,-50,0.482963,-0.353553,-0.12941
341,0.08525,99.6917,-43.0511,-56.6406,0.491627,-0.324724,-0.166903
342,0.0855,98.7688,-35.8368,-62.932,0.497261,-0.293893,-0.203368
343,0.08575,97.237,-28.4015,-68.8355,0.499829,-0.261249,-0.238579
344,0.086,95.1057,-20.7912,-74.3145,0.499315,-0.226995,-0.27232
345,0.08625,92.388,-13.0526,-79.3353,0.495722,-0.191342,-0.304381
346,0.0865,89.1007,-5.2336,-83.8671,0.489074,-0.154508,-0.334565
347,0.08675,85.264,2.61769,-87.8817,0.47941,-0.116723,-0.362687
348,0.087,80.9017,10.4528,-91.3545,0.46679,-0.0782172,-0.388573
349,0.08725,76.0406,18.2236,-94.2641,0.451293,-0.0392295,-0.412063
350,0.0875,70.7107,25.8819,-96.5926,0.433013,1.01683e-14,-0.433013
