step,time,U1_A,U1_B,U1_C,I1_A,I1_B,I1_C,abs(U1_A),abs(U1_B),abs(U1_C),abs(I1_A),abs(I1_B),abs(I1_C),abs(3U0),abs(3I0),ovcp(1),ovcp(2),zccp(1),zccp(1)
125,0.03125,92.388,-13.0526,-79.3353,0.495722,-0.191342,-0.191342,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
126,0.0315,89.1007,-5.2336,-83.8671,0.489074,-0.154508,-0.154508,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
127,0.03175,85.264,2.61769,-87.8817,0.47941,-0.116723,-0.116723,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
128,0.032,80.9017,10.4528,-91.3545,0.46679,-0.0782172,-0.0782172,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
129,0.03225,76.0406,18.2236,-94.2641,0.451293,-0.0392295,-0.0392295,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
130,0.0325,70.7107,25.8819,-96.5926,0.433013,2.98616e-15,2.98616e-15,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
131,0.03275,64.9448,33.3807,-98.3255,0.412063,0.0392295,0.0392295,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
132,0.033,58.7785,40.6737,-99.4522,0.388573,0.0782172,0.0782172,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
133,0.03325,52.2499,47.7159,-99.9657,0.362687,0.116723,0.116723,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
134,0.0335,45.399,54.4639,-99.863,0.334565,0.154508,0.154508,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
135,0.03375,38.2683,60.8761,-99.1445,0.304381,0.191342,0.191342,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
136,0.034,30.9017,66.9131,-97.8148,0.27232,0.226995,0.226995,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
137,0.03425,23.3445,72.5374,-95.882,0.238579,0.261249,0.261249,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
138,0.0345,15.6434,77.7146,-93.358,0.203368,0.293893,0.293893,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
139,0.03475,7.84591,82.4126,-90.2585,0.166903,0.324724,0.324724,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
140,0.035,-6.73803e-13,86.6025,-86.6025,0.12941,0.353553,0.353553,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
141,0.03525,-7.84591,90.2585,-82.4126,0.0911178,0.380203,0.380203,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
142,0.0355,-15.6434,93.358,-77.7146,0.0522642,0.404508,0.404508,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
143,0.03575,-23.3445,95.882,-72.5374,0.0130885,0.42632,0.42632,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
144,0.036,-30.9017,97.8148,-66.9131,-0.026168,0.445503,0.445503,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
145,0.03625,-38.2683,99.1445,-60.8761,-0.0652631,0.46194,0.46194,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
146,0.0365,-45.399,99.863,-54.4639,-0.103956,0.475528,0.475528,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
147,0.03675,-52.2499,99.9657,-47.7159,-0.142008,0.486185,0.486185,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
148,0.037,-58.7785,99.4522,-40.6737,-0.179184,0.493844,0.493844,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
